cid,oid,did,o_start_time,o_end_time,d_start_time,d_end_time,o_during,d_during,v_value,s_value,c_value,o_set_len,d_set_len
0,14,16,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,20,27,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,20,17,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
0,24,23,2019-01-01 05:50:00,2019-01-01 07:20:00,2019-01-01 09:20:00,2019-01-01 10:10:00,90,50,0.25758,3.47368,0.94591,3,4
1,7,30,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
1,12,30,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
1,4,29,2019-01-01 07:05:00,2019-01-01 07:20:00,2019-01-01 10:30:00,2019-01-01 11:10:00,15,40,0.20202,4.95,1.0,3,2
